customer_id,signup_date,country,segment,age,gender
CUST_00001,2020-10-12,US,basic,27,F
CUST_00002,2024-12-31,US,premium,60,F
CUST_00003,2022-03-12,US,standard,54,M
CUST_00004,2021-07-09,CA,basic,43,F
CUST_00005,2020-04-13,UK,standard,30,F
CUST_00006,2020-04-13,JP,basic,49,F
CUST_00007,2020-02-06,US,enterprise,21,F
CUST_00008,2023-05-09,CA,premium,47,F
CUST_00009,2021-07-13,FR,basic,46,M
CUST_00010,2022-01-19,FR,standard,33,M
CUST_00011,2020-01-13,JP,standard,48,F
CUST_00012,2024-12-31,DE,premium,29,M
CUST_00013,2022-12-23,IN,premium,19,F
CUST_00014,2020-05-25,US,standard,46,F
CUST_00015,2020-05-02,UK,standard,33,F
CUST_00016,2020-05-03,US,basic,42,M
CUST_00017,2020-08-08,US,basic,56,F
CUST_00018,2021-03-28,US,enterprise,26,M
CUST_00019,2020-12-10,US,standard,33,F
CUST_00020,2020-07-28,US,standard,53,F
CUST_00021,2021-07-30,US,standard,43,F
CUST_00022,2020-04-01,US,standard,26,M
CUST_00023,2020-07-29,JP,standard,23,F
CUST_00024,2020-10-04,US,basic,28,F
CUST_00025,2021-01-05,FR,standard,26,M
CUST_00026,2022-07-25,US,standard,37,F
CUST_00027,2020-05-15,IN,premium,35,F
CUST_00028,2021-03-15,JP,premium,38,F
CUST_00029,2021-06-30,DE,standard,24,M
CUST_00030,2020-01-29,DE,premium,34,F
CUST_00031,2021-07-23,US,basic,18,F
CUST_00032,2020-04-23,MX,premium,36,F
CUST_00033,2020-02-10,JP,basic,49,F
CUST_00034,2024-12-14,JP,standard,18,M
CUST_00035,2024-12-31,DE,premium,40,M
CUST_00036,2022-10-02,US,basic,27,M
CUST_00037,2020-08-09,JP,standard,44,M
CUST_00038,2020-03-03,US,standard,36,F
CUST_00039,2021-12-02,CA,basic,39,M
CUST_00040,2020-12-19,US,premium,35,F
CUST_00041,2020-03-20,IN,standard,50,F
CUST_00042,2021-02-20,US,basic,39,M
CUST_00043,2020-01-22,US,basic,26,M
CUST_00044,2024-01-01,CA,standard,36,F
CUST_00045,2020-07-01,FR,premium,30,M
CUST_00046,2021-10-23,CA,basic,36,M
CUST_00047,2020-08-15,US,standard,29,F
CUST_00048,2021-03-22,US,premium,26,F
CUST_00049,2021-04-26,FR,standard,37,F
CUST_00050,2020-05-04,MX,enterprise,35,F
CUST_00051,2024-12-31,AU,premium,47,F
CUST_00052,2022-06-27,UK,basic,30,M
CUST_00053,2024-09-03,JP,standard,18,Other
CUST_00054,2023-10-02,UK,standard,30,M
CUST_00055,2021-07-08,UK,basic,18,F
CUST_00056,2024-03-31,UK,enterprise,39,F
CUST_00057,2020-02-26,UK,standard,18,F
CUST_00058,2020-05-12,FR,premium,23,Other
CUST_00059,2020-01-29,UK,enterprise,30,M
CUST_00060,2020-08-27,US,basic,53,M
CUST_00061,2020-10-26,US,standard,22,M
CUST_00062,2020-07-11,US,standard,35,M
CUST_00063,2022-12-10,CA,basic,41,F
CUST_00064,2020-09-25,US,basic,52,M
CUST_00065,2020-07-19,US,enterprise,44,F
CUST_00066,2021-04-21,DE,standard,48,F
CUST_00067,2020-04-02,DE,standard,45,M
CUST_00068,2022-09-13,FR,basic,20,M
CUST_00069,2020-02-17,UK,standard,39,M
CUST_00070,2024-12-31,JP,standard,45,F
CUST_00071,2022-06-19,IN,standard,23,F
CUST_00072,2020-05-14,AU,premium,28,M
CUST_00073,2020-01-04,CA,standard,25,M
CUST_00074,2022-10-25,US,basic,44,M
CUST_00075,2022-01-16,MX,basic,34,M
CUST_00076,2022-03-05,US,standard,31,F
CUST_00077,2022-06-16,US,premium,19,F
CUST_00078,2020-02-16,UK,standard,34,F
CUST_00079,2020-09-27,US,basic,28,F
CUST_00080,2020-03-15,BR,standard,37,M
CUST_00081,2023-04-25,CA,basic,21,M
CUST_00082,2021-08-17,CA,standard,37,F
CUST_00083,2020-09-01,DE,standard,29,M
CUST_00084,2020-02-09,UK,basic,20,M
CUST_00085,2020-08-14,US,premium,19,F
CUST_00086,2020-08-27,CA,standard,20,M
CUST_00087,2022-03-07,DE,standard,32,F
CUST_00088,2021-09-09,UK,premium,36,F
CUST_00089,2023-08-21,FR,standard,38,M
CUST_00090,2021-01-23,US,standard,38,M
CUST_00091,2020-03-18,US,basic,25,M
CUST_00092,2022-01-30,US,basic,47,F
CUST_00093,2022-05-20,US,basic,29,M
CUST_00094,2021-05-16,AU,standard,40,F
CUST_00095,2022-06-16,AU,basic,33,F
CUST_00096,2021-02-18,US,standard,39,M
CUST_00097,2021-03-26,CA,standard,32,F
CUST_00098,2020-12-05,DE,standard,39,F
CUST_00099,2020-01-16,US,enterprise,34,M
CUST_00100,2020-03-10,US,premium,44,F
CUST_00101,2020-01-20,BR,enterprise,25,F
CUST_00102,2021-09-07,CA,premium,18,M
CUST_00103,2020-08-17,MX,standard,23,M
