transaction_id,customer_id,amount,timestamp,channel
TXN_0000001,CUST_00001,60.58,2023-02-27 00:00:00,api
TXN_0000002,CUST_00001,10.22,2021-09-14 00:00:00,web
TXN_0000003,CUST_00001,164.38,2021-02-02 00:00:00,web
TXN_0000004,CUST_00001,33.11,2024-06-03 00:00:00,mobile
TXN_0000005,CUST_00001,17.07,2021-03-05 00:00:00,web
TXN_0000006,CUST_00002,95.32,2024-12-31 00:00:00,web
TXN_0000007,CUST_00002,63.59,2024-12-31 00:00:00,web
TXN_0000008,CUST_00002,79.22,2024-12-31 00:00:00,web
TXN_0000009,CUST_00002,29.09,2024-12-31 00:00:00,web
TXN_0000010,CUST_00002,158.45,2024-12-31 00:00:00,web
TXN_0000011,CUST_00002,13.44,2024-12-31 00:00:00,mobile
TXN_0000012,CUST_00002,56.94,2024-12-31 00:00:00,api
TXN_0000013,CUST_00002,19.18,2024-12-31 00:00:00,web
TXN_0000014,CUST_00002,18.72,2024-12-31 00:00:00,web
TXN_0000015,CUST_00002,81.12,2024-12-31 00:00:00,in_app
TXN_0000016,CUST_00002,50.29,2024-12-31 00:00:00,web
TXN_0000017,CUST_00003,18.57,2023-04-17 00:00:00,mobile
TXN_0000018,CUST_00003,45.39,2023-03-27 00:00:00,web
TXN_0000019,CUST_00003,38.11,2023-12-02 00:00:00,web
TXN_0000020,CUST_00004,21.69,2024-06-12 00:00:00,api
TXN_0000021,CUST_00004,38.43,2023-05-13 00:00:00,web
TXN_0000022,CUST_00004,49.98,2024-06-24 00:00:00,api
TXN_0000023,CUST_00004,103.78,2024-11-17 00:00:00,in_app
TXN_0000024,CUST_00004,188.2,2022-09-03 00:00:00,api
TXN_0000025,CUST_00004,11.7,2021-07-29 00:00:00,mobile
TXN_0000026,CUST_00004,36.8,2024-01-22 00:00:00,web
TXN_0000027,CUST_00005,86.5,2023-04-07 00:00:00,web
TXN_0000028,CUST_00005,159.62,2021-04-11 00:00:00,api
TXN_0000029,CUST_00005,45.73,2021-02-16 00:00:00,web
TXN_0000030,CUST_00005,31.64,2020-04-16 00:00:00,mobile
TXN_0000031,CUST_00006,37.46,2020-12-20 00:00:00,web
TXN_0000032,CUST_00006,55.51,2022-05-15 00:00:00,web
TXN_0000033,CUST_00006,32.98,2022-06-16 00:00:00,mobile
TXN_0000034,CUST_00006,53.64,2021-06-01 00:00:00,in_app
TXN_0000035,CUST_00006,69.25,2020-07-08 00:00:00,mobile
TXN_0000036,CUST_00006,12.89,2020-04-21 00:00:00,web
TXN_0000037,CUST_00006,110.84,2024-06-02 00:00:00,api
TXN_0000038,CUST_00006,12.98,2023-11-15 00:00:00,mobile
TXN_0000039,CUST_00006,111.45,2022-09-19 00:00:00,api
TXN_0000040,CUST_00007,14.26,2024-12-26 00:00:00,api
TXN_0000041,CUST_00007,143.97,2020-02-29 00:00:00,api
TXN_0000042,CUST_00007,36.08,2024-12-21 00:00:00,mobile
TXN_0000043,CUST_00007,44.52,2021-05-08 00:00:00,api
TXN_0000044,CUST_00007,40.24,2020-04-22 00:00:00,mobile
TXN_0000045,CUST_00007,14.11,2021-04-27 00:00:00,mobile
TXN_0000046,CUST_00007,87.75,2021-07-13 00:00:00,api
TXN_0000047,CUST_00008,8.87,2023-10-02 00:00:00,web
TXN_0000048,CUST_00008,80.3,2023-12-19 00:00:00,mobile
TXN_0000049,CUST_00008,131.64,2023-10-10 00:00:00,web
TXN_0000050,CUST_00008,5.15,2023-12-22 00:00:00,api
TXN_0000051,CUST_00009,87.21,2024-01-03 00:00:00,web
TXN_0000052,CUST_00009,17.81,2024-07-06 00:00:00,in_app
TXN_0000053,CUST_00009,49.75,2024-01-23 00:00:00,web
TXN_0000054,CUST_00009,126.3,2023-07-20 00:00:00,web
TXN_0000055,CUST_00009,31.35,2024-02-12 00:00:00,web
TXN_0000056,CUST_00010,6.1,2024-06-16 00:00:00,api
TXN_0000057,CUST_00010,40.01,2024-03-13 00:00:00,in_app
TXN_0000058,CUST_00010,39.86,2022-01-24 00:00:00,web
TXN_0000059,CUST_00011,71.52,2023-06-23 00:00:00,mobile
TXN_0000060,CUST_00011,23.43,2023-10-12 00:00:00,in_app
TXN_0000061,CUST_00011,91.23,2022-06-17 00:00:00,web
TXN_0000062,CUST_00011,402.81,2021-04-25 00:00:00,web
TXN_0000063,CUST_00011,34.37,2022-07-04 00:00:00,web
TXN_0000064,CUST_00011,80.17,2023-03-19 00:00:00,mobile
TXN_0000065,CUST_00011,169.21,2020-12-04 00:00:00,web
TXN_0000066,CUST_00011,56.96,2023-01-20 00:00:00,web
TXN_0000067,CUST_00012,134.93,2024-12-31 00:00:00,in_app
TXN_0000068,CUST_00012,5.4,2024-12-31 00:00:00,mobile
TXN_0000069,CUST_00012,49.23,2024-12-31 00:00:00,mobile
TXN_0000070,CUST_00012,52.83,2024-12-31 00:00:00,mobile
